"","source","source_id","source_site_name","site_name","latitude","longitude","phase","phase_description","phase_code","age_start","age_end","taxon_source","n","prop","reference","taxon_detail","taxon","genus","family","category","founder_crop","edibility","grass_type","legume_type"
"47","ORIGINS","12294–12344","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Phragmites australis",9,0.00155979202772963,"MooreEtal2000","Phragmites australis","Phragmites australis","Phragmites","Poaceae","Grasses",NA,"Edible seed/fruit","Small-seeded",NA
"48","ORIGINS","11945–12048","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Pistacia atlantica/khinjuk",158,0.0273830155979203,"MooreEtal2000","Pistacia sp.","Pistacia spp. (incl. atlantica, lentiscus, palaestina, terebinthus, vera)","Pistacia","Anacardiaceae","Fruits/nuts",NA,"Edible seed/fruit",NA,NA
"49","ORIGINS","11972–12339","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Polygonum corrigioloides",1628,0.282149046793761,"MooreEtal2000","Polygonum corrigioloides","Polygonum spp. (incl. aviculare, convolvulus, corrigioloides, lapathifolium, persicaria, salicifolium, venantianum)","Polygonum","Polygonaceae","Wild plants",NA,"Edible seed/fruit",NA,NA
"50","ORIGINS","12312–12312","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Potentilla",6,0.00103986135181975,"MooreEtal2000","Potentilla sp.","Potentilla spp. (incl. supina)","Potentilla","Rosaceae","Wild plants",NA,NA,NA,NA
"51","ORIGINS","11944–11995","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Pyrus",9,0.00155979202772963,"MooreEtal2000","Pyrus sp.","Pyrus sp.","Pyrus","Rosaceae","Fruits/nuts",NA,"Edible seed/fruit",NA,NA
"52","ORIGINS","11961–12279","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Salvia cryptantha",6,0.00103986135181975,"MooreEtal2000","Salvia cryptantha","Salvia cryptantha","Salvia","Lamiaceae","Wild plants",NA,NA,NA,NA
"53","ORIGINS","12346–12346","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Secale cereale",3,0.000519930675909879,"MooreEtal2000","Secale cereale","Secale spp. (incl. cereale, montanum)","Secale","Poaceae","Grasses",NA,"Edible seed/fruit","Large/medium-seeded",NA
"54","ORIGINS","11950–12081","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Secale cereale ssp.vavilovii",85,0.0147313691507799,"MooreEtal2000","Secale cereale","Secale spp. (incl. cereale, montanum)","Secale","Poaceae","Grasses",NA,"Edible seed/fruit","Large/medium-seeded",NA
"55","ORIGINS","11949–12080","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Secale montanum",24,0.00415944540727902,"MooreEtal2000","Secale montanum","Secale spp. (incl. cereale, montanum)","Secale","Poaceae","Grasses",NA,"Edible seed/fruit","Large/medium-seeded",NA
"56","ORIGINS","11964–12361","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Stipa lagascae/hohenackeriana/barbata",324,0.0561525129982669,"MooreEtal2000","Stipa sp.","Stipa spp. (incl. capensis, gigantea)","Stipa","Poaceae","Grasses",NA,"Edible seed/fruit","Large/medium-seeded",NA
"57","ORIGINS","11963–12360","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Stipa parviflora/capensis",72,0.0124783362218371,"MooreEtal2000","Stipa sp.","Stipa spp. (incl. capensis, gigantea)","Stipa","Poaceae","Grasses",NA,"Edible seed/fruit","Large/medium-seeded",NA
"58","ORIGINS","12255–12255","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Suaeda",3,0.000519930675909879,"MooreEtal2000","Suaeda sp.","Suaeda spp. (incl. fruticosa, maritima, palaestina)","Suaeda","Amaranthaceae","Wild plants",NA,NA,NA,NA
"59","ORIGINS","12289–12314","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Suaeda fruticosa",3,0.000519930675909879,"MooreEtal2000","Suaeda fruticosa","Suaeda spp. (incl. fruticosa, maritima, palaestina)","Suaeda","Amaranthaceae","Wild plants",NA,"leaves, stems",NA,NA
"60","ORIGINS","12009–12009","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Torularia torulosa",3,0.000519930675909879,"MooreEtal2000","Torularia torulosa","Torularia torulosa","Torularia","Brassicaceae","Wild plants",NA,NA,NA,NA
"61","ORIGINS","11947–12078","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Triticum",78,0.0135181975736568,"MooreEtal2000","Triticum sp.","Triticum spp. (indeter.)","Triticum","Poaceae","Grasses",NA,"Edible seed/fruit","Large/medium-seeded",NA
"62","ORIGINS","12295–12295","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Triticum aestivum",3,0.000519930675909879,"MooreEtal2000","Triticum aestivum","Triticum spp. (inc. aestivum, durum)","Triticum","Poaceae","Grasses",NA,"Edible seed/fruit","Large/medium-seeded",NA
"63","ORIGINS","11946–12035","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Vicia ervilia",9,0.00155979202772963,"MooreEtal2000","Vicia ervilia","Vicia ervilia","Vicia","Fabaceae","Pulses","bitter vetch","Edible seed/fruit",NA,"Large/medium-seeded"
"64","ORIGINS","11971–12366","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010","ABHU Epip1",13096,12984,"Zygophyllum fabago",19,0.00329289428076256,"MooreEtal2000","Zygophyllum fabago","Zygophyllum spp. (incl. fabago)","Zygophyllum","Zygophyllaceae","Wild plants",NA,NA,NA,NA
"65","ORIGINS","12376–12579","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 2","Dates approximated from Colledge & Conolly 2010","ABHU Epip2",12984,12055,"Aizoon hispanicum",12,0.000945030713498189,"MooreEtal2000","Aizoon hispanicum","Aizoon spp. (incl. hispanicum)","Aizoon","Aizoaceae","Wild plants",NA,NA,NA,NA
"66","ORIGINS","12211–12211","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 2","Dates approximated from Colledge & Conolly 2010","ABHU Epip2",12984,12055,"Alyssum",3,0.000236257678374547,"MooreEtal2000","Alyssum sp.","Alyssum spp. (incl. damascenus)","Alyssum","Brassicaceae","Wild plants",NA,NA,NA,NA
"67","ORIGINS","12393–12446","Abu Hureyra","Abu Hureyra",35.87,38.4,"Abu Hureyra 1 (epipalaeolithic) phase 2","Dates approximated from Colledge & Conolly 2010","ABHU Epip2",12984,12055,"Arenaria serpyllifolia",18,0.00141754607024728,"MooreEtal2000","Arenaria serpyllifolia","Arenaria spp. (incl. serpyllifolia)","Arenaria","Caryophyllaceae","Wild plants",NA,NA,NA,NA
